Film,Genre,Director,Year released,IMDB link,Country
The Godfather Parts I and II,Drama,Francis Ford Coppola,1972,http://www.imdb.com/title/tt0068646/,USA
The Graduate,Drama,Mike Nichols,1967,http://www.imdb.com/title/tt0061722/,USA
There Will Be Blood,Drama,Paul Thomas Anderson,2007,http://www.imdb.com/title/tt0469494/,USA
Battleship Potemkin,Drama,Sergei Eisenstein,1925,http://www.imdb.com/title/tt0015648/,Soviet Union
Rules of the Game,Drama,Jean Renoir,1939,http://www.imdb.com/title/tt0031885/,USA
 Shadows,Drama,,,,
Distant Voices Still Lives,Drama,Terence davies,1988,http://www.imdb.com/title/tt0095037/,UK
Passion of Joan of Arc,Drama,Carl Theodor Dreyer,1928,http://www.imdb.com/title/tt0019254/,France
La Dolce Vita,Drama,Federico Fellini,1960,http://www.imdb.com/title/tt0053779/,Italy
Breaking the Waves,Drama,Lars Von Trier,1996,http://www.imdb.com/title/tt0115751/,Denmark
Spirit of the Beehive,Drama,Victor Erice,1973,http://www.imdb.com/title/tt0070040/,Spain
2001,Scifi,Stanley Kubrick,1968,http://www.imdb.com/title/tt0062622/,USA
Metropolis,Scifi,Fritz Lang,1927,http://www.imdb.com/title/tt0017136/,Germany
Blade Runner,Scifi,Ridley Scott,1982,http://www.imdb.com/title/tt0083658/,USA
Alien,Scifi,Ridley Scott,1979,http://www.imdb.com/title/tt0078748/,USA
The Wizard of Oz,Scifi,Victor Fleming,1939,http://www.imdb.com/title/tt0032138/,USA
ET,Scifi,Steven Spielberg,1982,http://www.imdb.com/title/tt0083866/,USA
Solaris,Scifi, Andrei Tarkovsky,1972,http://www.imdb.com/title/tt0069293/,USA
Spirited Away,Scifi,Hayao Miyazaki,2001,http://www.imdb.com/title/tt0245429/,Japan
Star Wars Original Trilogy,Scifi,George Lucas,1977,http://www.imdb.com/title/tt0076759/,USA
Close Encounters,Scifi,Steven Spielberg,1977,http://www.imdb.com/title/tt0075860/,USA
King Kong,Scifi,Ernest B Schoedsack,1933,http://www.imdb.com/title/tt0024216/,USA
Terminator/Terminator 2,Scifi,James Cameron,1984/1991,http://www.imdb.com/title/tt0088247/,USA
The Matrix,Scifi,Andy & Larry Wachowski,1999,http://www.imdb.com/title/tt0133093/,USA
Alphaville,Scifi,Jean Luc-Godard,1965,http://www.imdb.com/title/tt0058898/,France
Back to the Future,Scifi,Robert Zemeckis,1985,http://www.imdb.com/title/tt0088763/,USA
Planet of the Apes,Scifi,Franklin J Schaffner ,1968,http://www.imdb.com/title/tt0063442/,USA
Brazil,Scifi,Terry Gilliam,1985,http://www.imdb.com/title/tt0088846/,UK
The Lord of the Rings trilogy,Scifi,Peter Jackson,2001-2003,http://www.imdb.com/title/tt0167260/,USA
Dark Star,Scifi,John Carpenter,1974,http://www.imdb.com/title/tt0069945/,USA
Day the Earth Stood Still,Scifi,Robert Wise,1951,http://www.imdb.com/title/tt0043456/,USA
Edward Scissorhands,Scifi,Tim Burton,1990,http://www.imdb.com/title/tt0099487/,USA
Akira,Scifi,Katsuhiro Otomo,1988,http://www.imdb.com/title/tt0094625/,Japan
Princess Bride,Scifi,Rob reiner,1987,http://www.imdb.com/title/tt0093779/,USA
Pan’s Labyrinth,Scifi,Guillermo del Toro,2006,http://www.imdb.com/title/tt0457430/,Spain
Starship Troopers,Scifi,Paul Verhoeven,1997,http://www.imdb.com/title/tt0120201/,USA
Psycho,Horror,Alfred Hitchcock,1960,http://www.imdb.com/title/tt0054215/,USA
Rosemary’s Baby,Horror,Roman Polanski,1968,http://www.imdb.com/title/tt0063522/,USA
Don’t Look Now,Horror,Nicholas Roeg,1973,http://www.imdb.com/title/tt0069995/,UK
The Wicker Man,Horror,Robin Hardy,1973,http://www.imdb.com/title/tt0070917/,UK
The Shining,Horror,Stanley Kubrick,1980,http://www.imdb.com/title/tt0081505/,USA
The Exorcist,Horror,William Friedkin,1973,http://www.imdb.com/title/tt0070047/,USA
Nosferatu,Horror,FW Mernau,1922,http://www.imdb.com/title/tt0013442/,Germany
Let the Right One In,Horror,Tomas Alfredson,2008,http://www.imdb.com/title/tt1139797/,Sweden
Vampyr,Horror,Carl Theodor Dreyer,1932,http://www.imdb.com/title/tt0023649/,Germany
Peeping Tom,Horror,Michael Powell,1960,http://www.imdb.com/title/tt0054167/,UK
The Innocents,Horror,Jack Clayton,1961,http://www.imdb.com/title/tt0055018/,USA
Ringu,Horror,Hideo Nakata,1998,http://www.imdb.com/title/tt0178868/,Japan
The Haunting,Horror,Robert Wise,1963,http://www.imdb.com/title/tt0057129/,USA
Texas Chainsaw Massacre,Horror,Tobe Hooper,1974,http://www.imdb.com/title/tt0072271/,USA
Dead of Night,Horror,Alberto Cavalcanti,1945,http://www.imdb.com/title/tt0037635/,UK
The Cabinet of Dr Caligari,Horror,Robert Wiene,1920,http://www.imdb.com/title/tt0010323/,Germany
Halloween,Horror,John Carpenter,1978,http://www.imdb.com/title/tt0077651/,USA
Bride of Frankenstein,Horror,James Whale,1935,http://www.imdb.com/title/tt0026138/,USA
Les Diaboliques,Horror,Henri-Georges Clouzot,1955,http://www.imdb.com/title/tt0046911/,France
Audition,Horror,Miike Takashi,1999,http://www.imdb.com/title/tt0235198/,Korea
Dracula,Horror,Terence Fisher,1958,http://www.imdb.com/title/tt0051554/,UK
The Blair Witch Project,Horror,"Daniel Myrick, E Sanchez",1999,http://www.imdb.com/title/tt0185937/,USA
Evil Dead Series,Horror,Sam Raimi,1981,http://www.imdb.com/title/tt0083907/,USA
Carrie,Horror,Brian De Palma,1976,http://www.imdb.com/title/tt0074285/,USA
Les Vampires,Horror,Louis Feuillade,1915,http://www.imdb.com/title/tt0006206/,France
